id,group,part,class,instruction_missed,instruction_covered,branch_missed,branch_covered,line_missed,line_covered,complexity_missed,complexity_covered,method_missed,method_covered
28,pit,1,Grid,121,0,8,0,25,0,13,0,9,0
28,pit,2,Tile,6,108,3,15,1,27,3,16,0,10
28,pit,2,Grid,121,0,8,0,25,0,13,0,9,0
29,pit,1,Tile,13,101,5,13,3,25,6,13,1,9
29,pit,1,Grid,121,0,8,0,25,0,13,0,9,0
29,pit,2,Tile,4,110,2,16,0,28,2,17,0,10
29,pit,2,Grid,77,44,8,0,14,11,9,4,5,4
30,pit,1,Tile,4,110,1,17,0,28,1,18,0,10
30,pit,1,Grid,121,0,8,0,25,0,13,0,9,0
30,pit,2,Tile,4,110,1,17,0,28,1,18,0,10
30,pit,2,Grid,73,48,8,0,13,12,8,5,4,5
31,pit,1,Tile,63,51,13,5,15,13,13,6,5,5
31,pit,1,Grid,121,0,8,0,25,0,13,0,9,0
31,pit,2,Tile,19,95,7,11,5,23,9,10,2,8
31,pit,2,Grid,121,0,8,0,25,0,13,0,9,0
32,reneri,1,Tile,65,49,14,4,16,12,14,5,5,5
32,reneri,1,Grid,121,0,8,0,25,0,13,0,9,0
32,reneri,2,Tile,65,49,14,4,16,12,14,5,5,5
32,reneri,2,Grid,121,0,8,0,25,0,13,0,9,0
33,pit,1,Tile,19,95,7,11,5,23,9,10,2,8
33,pit,1,Grid,121,0,8,0,25,0,13,0,9,0
33,pit,2,Tile,4,110,1,17,0,28,1,18,0,10
33,pit,2,Grid,113,8,8,0,22,3,12,1,8,1
34,pit,1,Tile,40,74,7,11,10,18,9,10,3,7
34,pit,1,Grid,121,0,8,0,25,0,13,0,9,0
34,pit,2,Tile,38,76,6,12,9,19,8,11,3,7
34,pit,2,Grid,121,0,8,0,25,0,13,0,9,0
35,reneri,1,Tile,,,,,,,,,,
35,reneri,1,Grid,,,,,,,,,,
35,reneri,2,Tile,37,77,7,11,8,20,9,10,2,8
35,reneri,2,Grid,77,44,8,0,14,11,9,4,5,4
36,reneri,1,Tile,17,97,7,11,5,23,8,11,1,9
36,reneri,1,Grid,113,8,8,0,22,3,12,1,8,1
36,reneri,2,Tile,17,97,7,11,5,23,8,11,1,9
36,reneri,2,Grid,113,8,8,0,22,3,12,1,8,1
37,pit,1,Tile,4,110,1,17,0,28,1,18,0,10
37,pit,1,Grid,77,44,8,0,14,11,9,4,5,4
37,pit,2,Tile,4,110,1,17,0,28,1,18,0,10
37,pit,2,Grid,77,44,8,0,14,11,9,4,5,4
38,pit,1,Tile,65,49,14,4,16,12,14,5,5,5
38,pit,1,Grid,121,0,8,0,25,0,13,0,9,0
38,pit,2,Tile,4,110,2,16,0,28,2,17,0,10
38,pit,2,Grid,121,0,8,0,25,0,13,0,9,0
39,pit,1,Tile,14,100,5,13,4,24,6,13,1,9
39,pit,1,Grid,121,0,8,0,25,0,13,0,9,0
39,pit,2,Tile,4,110,2,16,0,28,2,17,0,10
39,pit,2,Grid,113,8,8,0,22,3,12,1,8,1
40,reneri,1,Tile,8,106,1,17,1,27,2,17,1,9
40,reneri,1,Grid,121,0,8,0,25,0,13,0,9,0
40,reneri,2,Tile,8,106,1,17,1,27,2,17,1,9
40,reneri,2,Grid,121,0,8,0,25,0,13,0,9,0
41,pit,1,Tile,14,100,7,11,4,24,7,12,0,10
41,pit,1,Grid,79,42,8,0,14,11,9,4,5,4
41,pit,2,Tile,6,108,3,15,0,28,3,16,0,10
41,pit,2,Grid,71,50,8,0,11,14,8,5,4,5
42,pit,1,Tile,18,96,6,12,5,23,8,11,2,8
42,pit,1,Grid,121,0,8,0,25,0,13,0,9,0
42,pit,2,Tile,10,104,4,14,1,27,5,14,1,9
42,pit,2,Grid,121,0,8,0,25,0,13,0,9,0
43,reneri,1,Tile,33,81,10,8,8,20,10,9,3,7
43,reneri,1,Grid,121,0,8,0,25,0,13,0,9,0
43,reneri,2,Tile,33,81,10,8,8,20,10,9,3,7
43,reneri,2,Grid,121,0,8,0,25,0,13,0,9,0
